Date,Close,Volume,Open,High,Low
2017-03-24,2016,N/A,2016,2016,2016
2017-03-23,2001.25,N/A,2001.25,2001.25,2001.25
2017-03-22,2001.25,N/A,2001.25,2001.25,2001.25
2017-03-21,2011.5,N/A,2011.5,2011.5,2011.5
2017-03-20,2004.25,N/A,2004.25,2004.25,2004.25
2017-03-17,1994.25,N/A,1994.25,1994.25,1994.25
2017-03-16,1944,N/A,1944,1944,1944
2017-03-15,1954.25,N/A,1954.25,1954.25,1954.25
2017-03-14,1953,N/A,1953,1953,1953
2017-03-13,1967.25,N/A,1967.25,1967.25,1967.25
2017-03-10,1957,10,1954.25,1954.25,1954.25
2017-03-09,1950,N/A,1950,1950,1950
2017-03-08,1958,10,1948.5,1948.5,1948.5
2017-03-07,1950.5,40,1953.25,1953.25,1949.75
2017-03-06,1958,70,1956.75,1956.75,1956.75
2017-03-03,1938,10,1999,1999,1999
2017-03-02,2000.75,N/A,2000.75,2000.75,2000.75
2017-03-01,2046.75,N/A,2046.75,2046.75,2046.75
2017-02-28,2020.25,N/A,2020.25,2020.25,2020.25
2017-02-27,1996.25,60,1996.25,1996.25,1996.25
2017-02-24,1981.25,N/A,1981.25,1981.25,1981.25
2017-02-23,1961.5,10,1967.75,1967.75,1967.75
2017-02-22,1985.5,10,1985.5,1985.5,1985.5
2017-02-21,1986.75,N/A,1986.75,1986.75,1986.75
2017-02-17,1980.75,20,1980,1983.75,1980
2017-02-16,1996.25,N/A,1996.25,1996.25,1996.25
2017-02-15,2012.25,30,1997.25,2006.75,1996.25
2017-02-14,1990.25,24,2003.25,2003.25,2003.25
2017-02-13,1968,45,1981.25,1981.25,1970.25
2017-02-10,1970.75,73,1961.25,1970.75,1961.25
2017-02-09,1951.75,34,1956.75,1956.75,1950.25
2017-02-08,1950,150,1945.25,1945.25,1944.25
2017-02-07,1934,20,1930,1930,1927.75
2017-02-06,1946,8,1926.25,1936.5,1926.25
2017-02-03,1935,N/A,1935,1935,1935
2017-02-02,1930.25,N/A,1930.25,1930.25,1930.25
2017-02-01,1920.75,20,1912.25,1915,1912.25
2017-01-31,1923,1,1909.5,1909.5,1909.5
2017-01-30,1910,30,1914.25,1914.25,1910
2017-01-27,1921.25,N/A,1921.25,1921.25,1921.25
2017-01-26,1927.25,31,1937,1937,1925
2017-01-25,1946,40,1948.5,1964.25,1938.25
2017-01-24,1978.75,29,1957,1983.25,1957
2017-01-23,1962.5,2,1962.75,1962.75,1962.75
2017-01-20,1962,115,1947.25,1956.75,1934.75
2017-01-19,1946.25,122,1942.25,1946.25,1925
2017-01-18,1957.75,36,1947.25,1947.25,1928.5
2017-01-17,1911.5,12,1916.75,1916.75,1909.75
2017-01-13,1904.5,N/A,1904.5,1904.5,1904.5
2017-01-12,1886.5,N/A,1886.5,1886.5,1886.5
2017-01-11,1858.75,10,1854.75,1854.75,1854.75
2017-01-10,1842.75,N/A,1842.75,1842.75,1842.75
2017-01-09,1820.25,N/A,1820.25,1820.25,1820.25
2017-01-06,1803,44,1790.75,1791,1790
2017-01-05,1803.25,26,1803.25,1803.25,1803.25
2017-01-04,1786.75,10,1786.75,1786.75,1786.75
2017-01-03,1785.5,N/A,1785.5,1785.5,1785.5
2016-12-30,1787,N/A,1787,1787,1787
2016-12-29,1787,N/A,1787,1787,1787
2016-12-28,1804.75,N/A,1804.75,1804.75,1804.75
2016-12-27,1822.5,N/A,1822.5,1822.5,1822.5
2016-12-23,1822.5,N/A,1822.5,1822.5,1822.5
2016-12-22,1822.5,N/A,1822.5,1822.5,1822.5
2016-12-21,1822.5,N/A,1822.5,1822.5,1822.5
2016-12-20,1822.5,N/A,1822.5,1822.5,1822.5
2016-12-19,1816,14,1814.25,1817.75,1814.25
2016-12-16,1827.75,10,1835.5,1835.5,1835.5
2016-12-15,1849,N/A,1849,1849,1849
2016-12-14,1848.25,5,1839.5,1839.5,1839.5
2016-12-13,1846.5,1,1848.25,1848.25,1848.25
2016-12-12,1841,N/A,1841,1841,1841
2016-12-09,1855.75,N/A,1855.75,1855.75,1855.75
2016-12-08,1829.25,25,1823.5,1839.25,1823.5
2016-12-07,1818.75,5,1833,1833,1833
2016-12-06,1826,40,1821.5,1836.25,1821.5
2016-12-05,1862.25,N/A,1862.25,1862.25,1862.25
2016-12-02,1844.25,60,1834.25,1839.75,1833.25
2016-12-01,1845,40,1842,1848.25,1842
2016-11-30,1861.5,60,1848.25,1861.5,1848.25
2016-11-29,1841,28,1847.25,1847.25,1837.75
2016-11-28,1877.5,18,1885,1885,1874.5
