Date,Close,Open,High,Low,Vol.,Change
2020-02-06,54.93,55.56,56.58,54.25,379.87,-0.63
2020-02-07,54.47,55.14,55.40,54.21,270.80,-0.84
2020-02-10,53.27,54.20,54.71,53.11,280.18,-2.20
2020-02-11,54.01,53.62,54.69,53.60,272.81,1.39
2020-02-12,55.79,54.41,56.36,54.39,305.45,3.30
2020-02-13,56.34,55.75,56.83,54.96,325.51,0.99
2020-02-14,57.32,56.41,57.53,56.15,258.14,1.74
2020-02-17,57.67,57.29,57.70,56.83,115.34,0.61
2020-02-18,57.75,57.35,57.83,56.30,249.20,0.14
2020-02-19,59.12,57.60,59.40,57.51,262.15,2.37
2020-02-20,59.31,59.31,60.00,58.90,268.65,0.32
2020-02-21,58.50,59.00,59.25,57.73,236.49,-1.37
2020-02-24,56.30,57.85,57.86,55.13,236.33,-3.76
2020-02-25,54.95,56.46,56.98,54.62,210.28,-2.40
2020-02-26,53.43,55.13,55.45,53.03,171.50,-2.77
2020-02-27,52.18,53.18,53.25,50.97,112.16,-2.34
2020-02-28,50.52,51.42,51.52,50.05,20.36,-3.18
2020-03-02,51.90,48.95,53.20,48.40,417.56,2.73
2020-03-03,51.86,53.47,53.90,51.22,407.55,-0.08
2020-03-04,51.13,52.11,53.03,51.04,363.50,-1.41
2020-03-05,49.99,51.66,52.04,49.70,361.04,-2.23
2020-03-06,45.27,50.25,50.45,45.18,636.39,-9.44
2020-03-09,34.36,38.28,38.34,31.02,779.72,-24.10
2020-03-10,37.22,35.84,38.22,35.00,551.29,8.32
2020-03-11,35.79,37.27,39.70,35.35,471.77,-3.84
2020-03-12,33.22,35.99,36.46,32.50,472.74,-7.18
2020-03-13,33.85,32.85,36.15,32.50,360.63,1.90
2020-03-16,30.05,35.82,35.84,29.45,330.12,-11.23
2020-03-17,28.73,30.14,31.25,28.50,270.24,-4.39
2020-03-18,24.88,28.40,29.21,24.52,348.40,-13.40
2020-03-19,28.47,27.19,29.42,24.96,335.72,14.43
2020-03-20,26.98,28.10,30.94,26.81,313.84,-5.23
2020-03-23,27.03,26.75,27.54,24.68,257.59,0.19
2020-03-24,27.15,27.72,28.65,26.69,198.91,0.44
2020-03-25,27.39,27.80,28.29,25.68,154.94,0.88
2020-03-26,26.34,27.35,27.75,26.03,139.18,-3.83
2020-03-27,24.93,26.68,27.00,24.13,112.74,-5.35
2020-03-30,22.76,23.85,24.44,21.65,62.08,-8.70
2020-03-31,22.74,23.00,23.87,22.59,14.77,-0.09
2020-04-01,24.74,25.99,26.28,24.52,347.29,8.80
2020-04-02,29.94,25.61,36.29,25.45,612.27,21.02
2020-04-03,34.11,29.89,35.00,28.25,541.28,13.93
2020-04-06,33.05,31.76,34.24,30.03,296.07,-3.11
2020-04-07,31.87,33.66,34.18,31.74,303.42,-3.57
2020-04-08,32.84,32.63,33.87,31.54,320.61,3.04
2020-04-09,31.48,33.82,36.40,31.18,493.00,-4.14
