Date,Week day,Close,1W,1M,2M,3M,6M,12M
2013-12-02,Mon,0.08571,0.10071,0.13714,0.16357,0.19286,0.27643,0.45357
2013-11-29,Fri,0.20714,0.10214,0.13143,0.15429,0.19,0.27071,0.45214
2013-11-28,Thu,0.08857,0.09929,0.13429,0.15857,0.19071,0.27071,0.45214
2013-11-27,Wed,0.07929,0.10429,0.12071,0.15714,0.18643,0.26929,0.45071
2013-11-26,Tue,0.07214,0.1,0.12071,0.15571,0.18714,0.26857,0.44857
2013-11-25,Mon,0.06571,0.09429,0.11714,0.14857,0.18143,0.26357,0.44714
2013-11-22,Fri,0.06429,0.08571,0.11143,0.14357,0.175,0.25857,0.44214
2013-11-21,Thu,0.05429,0.07429,0.09929,0.135,0.16786,0.24786,0.43214
2013-11-20,Wed,0.05143,0.06786,0.09714,0.13571,0.16857,0.24857,0.435
2013-11-19,Tue,0.05143,0.06643,0.09357,0.135,0.16857,0.24857,0.43714
2013-11-18,Mon,0.05286,0.06357,0.09286,0.13357,0.16857,0.25,0.43429
2013-11-15,Fri,0.05,0.06429,0.09429,0.13357,0.16857,0.25,0.43429
2013-11-14,Thu,0.05,0.06429,0.09286,0.13357,0.16857,0.25143,0.43286
2013-11-13,Wed,0.05,0.06286,0.09286,0.13286,0.16929,0.25571,0.43857
2013-11-12,Tue,0.05,0.06286,0.09214,0.13286,0.16929,0.25571,0.43929
2013-11-11,Mon,0.05,0.06357,0.09357,0.13357,0.17,0.25571,0.43929
2013-11-08,Fri,0.04857,0.06357,0.09286,0.13286,0.17071,0.25571,0.43714
2013-11-07,Thu,0.05,0.06571,0.09429,0.13429,0.17714,0.27429,0.47
